name,rotation_period,orbital_period,diameter,climate,gravity,terrain,surface_water,population,residents,films,created,edited,url
Tatooine,23,304,10465,arid,1 standard,desert,1,200000,"['https://swapi.py4e.com/api/people/1/', 'https://swapi.py4e.com/api/people/2/', 'https://swapi.py4e.com/api/people/4/', 'https://swapi.py4e.com/api/people/6/', 'https://swapi.py4e.com/api/people/7/', 'https://swapi.py4e.com/api/people/8/', 'https://swapi.py4e.com/api/people/9/', 'https://swapi.py4e.com/api/people/11/', 'https://swapi.py4e.com/api/people/43/', 'https://swapi.py4e.com/api/people/62/']","['https://swapi.py4e.com/api/films/1/', 'https://swapi.py4e.com/api/films/3/', 'https://swapi.py4e.com/api/films/4/', 'https://swapi.py4e.com/api/films/5/', 'https://swapi.py4e.com/api/films/6/']",2014-12-09T13:50:49.641000Z,2014-12-20T20:58:18.411000Z,https://swapi.py4e.com/api/planets/1/
Alderaan,24,364,12500,temperate,1 standard,"grasslands, mountains",40,2000000000,"['https://swapi.py4e.com/api/people/5/', 'https://swapi.py4e.com/api/people/68/', 'https://swapi.py4e.com/api/people/81/']","['https://swapi.py4e.com/api/films/1/', 'https://swapi.py4e.com/api/films/6/']",2014-12-10T11:35:48.479000Z,2014-12-20T20:58:18.420000Z,https://swapi.py4e.com/api/planets/2/
Yavin IV,24,4818,10200,"temperate, tropical",1 standard,"jungle, rainforests",8,1000,[],['https://swapi.py4e.com/api/films/1/'],2014-12-10T11:37:19.144000Z,2014-12-20T20:58:18.421000Z,https://swapi.py4e.com/api/planets/3/
Hoth,23,549,7200,frozen,1.1 standard,"tundra, ice caves, mountain ranges",100,unknown,[],['https://swapi.py4e.com/api/films/2/'],2014-12-10T11:39:13.934000Z,2014-12-20T20:58:18.423000Z,https://swapi.py4e.com/api/planets/4/
Dagobah,23,341,8900,murky,N/A,"swamp, jungles",8,unknown,[],"['https://swapi.py4e.com/api/films/2/', 'https://swapi.py4e.com/api/films/3/', 'https://swapi.py4e.com/api/films/6/']",2014-12-10T11:42:22.590000Z,2014-12-20T20:58:18.425000Z,https://swapi.py4e.com/api/planets/5/
Bespin,12,5110,118000,temperate,"1.5 (surface), 1 standard (Cloud City)",gas giant,0,6000000,['https://swapi.py4e.com/api/people/26/'],['https://swapi.py4e.com/api/films/2/'],2014-12-10T11:43:55.240000Z,2014-12-20T20:58:18.427000Z,https://swapi.py4e.com/api/planets/6/
Endor,18,402,4900,temperate,0.85 standard,"forests, mountains, lakes",8,30000000,['https://swapi.py4e.com/api/people/30/'],['https://swapi.py4e.com/api/films/3/'],2014-12-10T11:50:29.349000Z,2014-12-20T20:58:18.429000Z,https://swapi.py4e.com/api/planets/7/
Naboo,26,312,12120,temperate,1 standard,"grassy hills, swamps, forests, mountains",12,4500000000,"['https://swapi.py4e.com/api/people/3/', 'https://swapi.py4e.com/api/people/21/', 'https://swapi.py4e.com/api/people/35/', 'https://swapi.py4e.com/api/people/36/', 'https://swapi.py4e.com/api/people/37/', 'https://swapi.py4e.com/api/people/38/', 'https://swapi.py4e.com/api/people/39/', 'https://swapi.py4e.com/api/people/42/', 'https://swapi.py4e.com/api/people/60/', 'https://swapi.py4e.com/api/people/61/', 'https://swapi.py4e.com/api/people/66/']","['https://swapi.py4e.com/api/films/3/', 'https://swapi.py4e.com/api/films/4/', 'https://swapi.py4e.com/api/films/5/', 'https://swapi.py4e.com/api/films/6/']",2014-12-10T11:52:31.066000Z,2014-12-20T20:58:18.430000Z,https://swapi.py4e.com/api/planets/8/
Coruscant,24,368,12240,temperate,1 standard,"cityscape, mountains",unknown,1000000000000,"['https://swapi.py4e.com/api/people/34/', 'https://swapi.py4e.com/api/people/55/', 'https://swapi.py4e.com/api/people/74/']","['https://swapi.py4e.com/api/films/3/', 'https://swapi.py4e.com/api/films/4/', 'https://swapi.py4e.com/api/films/5/', 'https://swapi.py4e.com/api/films/6/']",2014-12-10T11:54:13.921000Z,2014-12-20T20:58:18.432000Z,https://swapi.py4e.com/api/planets/9/
Kamino,27,463,19720,temperate,1 standard,ocean,100,1000000000,"['https://swapi.py4e.com/api/people/22/', 'https://swapi.py4e.com/api/people/72/', 'https://swapi.py4e.com/api/people/73/']",['https://swapi.py4e.com/api/films/5/'],2014-12-10T12:45:06.577000Z,2014-12-20T20:58:18.434000Z,https://swapi.py4e.com/api/planets/10/
Geonosis,30,256,11370,"temperate, arid",0.9 standard,"rock, desert, mountain, barren",5,100000000000,['https://swapi.py4e.com/api/people/63/'],['https://swapi.py4e.com/api/films/5/'],2014-12-10T12:47:22.350000Z,2014-12-20T20:58:18.437000Z,https://swapi.py4e.com/api/planets/11/
Utapau,27,351,12900,"temperate, arid, windy",1 standard,"scrublands, savanna, canyons, sinkholes",0.9,95000000,['https://swapi.py4e.com/api/people/83/'],['https://swapi.py4e.com/api/films/6/'],2014-12-10T12:49:01.491000Z,2014-12-20T20:58:18.439000Z,https://swapi.py4e.com/api/planets/12/
Mustafar,36,412,4200,hot,1 standard,"volcanoes, lava rivers, mountains, caves",0,20000,[],['https://swapi.py4e.com/api/films/6/'],2014-12-10T12:50:16.526000Z,2014-12-20T20:58:18.440000Z,https://swapi.py4e.com/api/planets/13/
Kashyyyk,26,381,12765,tropical,1 standard,"jungle, forests, lakes, rivers",60,45000000,"['https://swapi.py4e.com/api/people/13/', 'https://swapi.py4e.com/api/people/80/']",['https://swapi.py4e.com/api/films/6/'],2014-12-10T13:32:00.124000Z,2014-12-20T20:58:18.442000Z,https://swapi.py4e.com/api/planets/14/
Polis Massa,24,590,0,artificial temperate ,0.56 standard,airless asteroid,0,1000000,[],['https://swapi.py4e.com/api/films/6/'],2014-12-10T13:33:46.405000Z,2014-12-20T20:58:18.444000Z,https://swapi.py4e.com/api/planets/15/
Mygeeto,12,167,10088,frigid,1 standard,"glaciers, mountains, ice canyons",unknown,19000000,[],['https://swapi.py4e.com/api/films/6/'],2014-12-10T13:43:39.139000Z,2014-12-20T20:58:18.446000Z,https://swapi.py4e.com/api/planets/16/
Felucia,34,231,9100,"hot, humid",0.75 standard,fungus forests,unknown,8500000,[],['https://swapi.py4e.com/api/films/6/'],2014-12-10T13:44:50.397000Z,2014-12-20T20:58:18.447000Z,https://swapi.py4e.com/api/planets/17/
Cato Neimoidia,25,278,0,"temperate, moist",1 standard,"mountains, fields, forests, rock arches",unknown,10000000,['https://swapi.py4e.com/api/people/33/'],['https://swapi.py4e.com/api/films/6/'],2014-12-10T13:46:28.704000Z,2014-12-20T20:58:18.449000Z,https://swapi.py4e.com/api/planets/18/
Saleucami,26,392,14920,hot,unknown,"caves, desert, mountains, volcanoes",unknown,1400000000,[],['https://swapi.py4e.com/api/films/6/'],2014-12-10T13:47:46.874000Z,2014-12-20T20:58:18.450000Z,https://swapi.py4e.com/api/planets/19/
Stewjon,unknown,unknown,0,temperate,1 standard,grass,unknown,unknown,['https://swapi.py4e.com/api/people/10/'],[],2014-12-10T16:16:26.566000Z,2014-12-20T20:58:18.452000Z,https://swapi.py4e.com/api/planets/20/
Eriadu,24,360,13490,polluted,1 standard,cityscape,unknown,22000000000,['https://swapi.py4e.com/api/people/12/'],[],2014-12-10T16:26:54.384000Z,2014-12-20T20:58:18.454000Z,https://swapi.py4e.com/api/planets/21/
Corellia,25,329,11000,temperate,1 standard,"plains, urban, hills, forests",70,3000000000,"['https://swapi.py4e.com/api/people/14/', 'https://swapi.py4e.com/api/people/18/']",[],2014-12-10T16:49:12.453000Z,2014-12-20T20:58:18.456000Z,https://swapi.py4e.com/api/planets/22/
Rodia,29,305,7549,hot,1 standard,"jungles, oceans, urban, swamps",60,1300000000,['https://swapi.py4e.com/api/people/15/'],[],2014-12-10T17:03:28.110000Z,2014-12-20T20:58:18.458000Z,https://swapi.py4e.com/api/planets/23/
Nal Hutta,87,413,12150,temperate,1 standard,"urban, oceans, swamps, bogs",unknown,7000000000,['https://swapi.py4e.com/api/people/16/'],[],2014-12-10T17:11:29.452000Z,2014-12-20T20:58:18.460000Z,https://swapi.py4e.com/api/planets/24/
Dantooine,25,378,9830,temperate,1 standard,"oceans, savannas, mountains, grasslands",unknown,1000,[],[],2014-12-10T17:23:29.896000Z,2014-12-20T20:58:18.461000Z,https://swapi.py4e.com/api/planets/25/
