name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,films,species,vehicles,starships,created,edited,url,species_count,vehicles_count,starships_count
luke skywalker,172,77,blond,fair,blue,19bby,male,https://swapi.py4e.com/api/planets/1/,"https://swapi.py4e.com/api/films/1/, https://swapi.py4e.com/api/films/2/, https://swapi.py4e.com/api/films/3/, https://swapi.py4e.com/api/films/6/, https://swapi.py4e.com/api/films/7/",https://swapi.py4e.com/api/species/1/,"https://swapi.py4e.com/api/vehicles/14/, https://swapi.py4e.com/api/vehicles/30/","https://swapi.py4e.com/api/starships/12/, https://swapi.py4e.com/api/starships/22/",2014-12-09t13:50:51.644000z,2014-12-20t21:17:56.891000z,https://swapi.py4e.com/api/people/1/,1,2,2
c-3po,167,75,,gold,yellow,112bby,,https://swapi.py4e.com/api/planets/1/,"https://swapi.py4e.com/api/films/1/, https://swapi.py4e.com/api/films/2/, https://swapi.py4e.com/api/films/3/, https://swapi.py4e.com/api/films/4/, https://swapi.py4e.com/api/films/5/, https://swapi.py4e.com/api/films/6/",https://swapi.py4e.com/api/species/2/,,,2014-12-10t15:10:51.357000z,2014-12-20t21:17:50.309000z,https://swapi.py4e.com/api/people/2/,1,0,0
r2-d2,96,32,,"white, blue",red,33bby,,https://swapi.py4e.com/api/planets/8/,"https://swapi.py4e.com/api/films/1/, https://swapi.py4e.com/api/films/2/, https://swapi.py4e.com/api/films/3/, https://swapi.py4e.com/api/films/4/, https://swapi.py4e.com/api/films/5/, https://swapi.py4e.com/api/films/6/, https://swapi.py4e.com/api/films/7/",https://swapi.py4e.com/api/species/2/,,,2014-12-10t15:11:50.376000z,2014-12-20t21:17:50.311000z,https://swapi.py4e.com/api/people/3/,1,0,0
darth vader,202,136,none,white,yellow,41.9bby,male,https://swapi.py4e.com/api/planets/1/,"https://swapi.py4e.com/api/films/1/, https://swapi.py4e.com/api/films/2/, https://swapi.py4e.com/api/films/3/, https://swapi.py4e.com/api/films/6/",https://swapi.py4e.com/api/species/1/,,https://swapi.py4e.com/api/starships/13/,2014-12-10t15:18:20.704000z,2014-12-20t21:17:50.313000z,https://swapi.py4e.com/api/people/4/,1,0,1
leia organa,150,49,brown,light,brown,19bby,female,https://swapi.py4e.com/api/planets/2/,"https://swapi.py4e.com/api/films/1/, https://swapi.py4e.com/api/films/2/, https://swapi.py4e.com/api/films/3/, https://swapi.py4e.com/api/films/6/, https://swapi.py4e.com/api/films/7/",https://swapi.py4e.com/api/species/1/,https://swapi.py4e.com/api/vehicles/30/,,2014-12-10t15:20:09.791000z,2014-12-20t21:17:50.315000z,https://swapi.py4e.com/api/people/5/,1,1,0
owen lars,178,120,"brown, grey",light,blue,52bby,male,https://swapi.py4e.com/api/planets/1/,"https://swapi.py4e.com/api/films/1/, https://swapi.py4e.com/api/films/5/, https://swapi.py4e.com/api/films/6/",https://swapi.py4e.com/api/species/1/,,,2014-12-10t15:52:14.024000z,2014-12-20t21:17:50.317000z,https://swapi.py4e.com/api/people/6/,1,0,0
beru whitesun lars,165,75,brown,light,blue,47bby,female,https://swapi.py4e.com/api/planets/1/,"https://swapi.py4e.com/api/films/1/, https://swapi.py4e.com/api/films/5/, https://swapi.py4e.com/api/films/6/",https://swapi.py4e.com/api/species/1/,,,2014-12-10t15:53:41.121000z,2014-12-20t21:17:50.319000z,https://swapi.py4e.com/api/people/7/,1,0,0
r5-d4,97,32,,"white, red",red,unknown,,https://swapi.py4e.com/api/planets/1/,https://swapi.py4e.com/api/films/1/,https://swapi.py4e.com/api/species/2/,,,2014-12-10t15:57:50.959000z,2014-12-20t21:17:50.321000z,https://swapi.py4e.com/api/people/8/,1,0,0
biggs darklighter,183,84,black,light,brown,24bby,male,https://swapi.py4e.com/api/planets/1/,https://swapi.py4e.com/api/films/1/,https://swapi.py4e.com/api/species/1/,,https://swapi.py4e.com/api/starships/12/,2014-12-10t15:59:50.509000z,2014-12-20t21:17:50.323000z,https://swapi.py4e.com/api/people/9/,1,0,1
obi-wan kenobi,182,77,"auburn, white",fair,blue-gray,57bby,male,https://swapi.py4e.com/api/planets/20/,"https://swapi.py4e.com/api/films/1/, https://swapi.py4e.com/api/films/2/, https://swapi.py4e.com/api/films/3/, https://swapi.py4e.com/api/films/4/, https://swapi.py4e.com/api/films/5/, https://swapi.py4e.com/api/films/6/",https://swapi.py4e.com/api/species/1/,https://swapi.py4e.com/api/vehicles/38/,"https://swapi.py4e.com/api/starships/48/, https://swapi.py4e.com/api/starships/59/, https://swapi.py4e.com/api/starships/64/...",2014-12-10t16:16:29.192000z,2014-12-20t21:17:50.325000z,https://swapi.py4e.com/api/people/10/,1,1,5
anakin skywalker,188,84,blond,fair,blue,41.9bby,male,https://swapi.py4e.com/api/planets/1/,"https://swapi.py4e.com/api/films/4/, https://swapi.py4e.com/api/films/5/, https://swapi.py4e.com/api/films/6/",https://swapi.py4e.com/api/species/1/,"https://swapi.py4e.com/api/vehicles/44/, https://swapi.py4e.com/api/vehicles/46/","https://swapi.py4e.com/api/starships/39/, https://swapi.py4e.com/api/starships/59/, https://swapi.py4e.com/api/starships/65/",2014-12-10t16:20:44.310000z,2014-12-20t21:17:50.327000z,https://swapi.py4e.com/api/people/11/,1,2,3
wilhuff tarkin,180,unknown,"auburn, grey",fair,blue,64bby,male,https://swapi.py4e.com/api/planets/21/,"https://swapi.py4e.com/api/films/1/, https://swapi.py4e.com/api/films/6/",https://swapi.py4e.com/api/species/1/,,,2014-12-10t16:26:56.138000z,2014-12-20t21:17:50.330000z,https://swapi.py4e.com/api/people/12/,1,0,0
chewbacca,228,112,brown,unknown,blue,200bby,male,https://swapi.py4e.com/api/planets/14/,"https://swapi.py4e.com/api/films/1/, https://swapi.py4e.com/api/films/2/, https://swapi.py4e.com/api/films/3/, https://swapi.py4e.com/api/films/6/, https://swapi.py4e.com/api/films/7/",https://swapi.py4e.com/api/species/3/,https://swapi.py4e.com/api/vehicles/19/,"https://swapi.py4e.com/api/starships/10/, https://swapi.py4e.com/api/starships/22/",2014-12-10t16:42:45.066000z,2014-12-20t21:17:50.332000z,https://swapi.py4e.com/api/people/13/,1,1,2
han solo,180,80,brown,fair,brown,29bby,male,https://swapi.py4e.com/api/planets/22/,"https://swapi.py4e.com/api/films/1/, https://swapi.py4e.com/api/films/2/, https://swapi.py4e.com/api/films/3/, https://swapi.py4e.com/api/films/7/",https://swapi.py4e.com/api/species/1/,,"https://swapi.py4e.com/api/starships/10/, https://swapi.py4e.com/api/starships/22/",2014-12-10t16:49:14.582000z,2014-12-20t21:17:50.334000z,https://swapi.py4e.com/api/people/14/,1,0,2
